Broad Industrial Group,Travelling Time,CensusYear,Statistic Label,UNIT,VALUE
"Professional, scientific and technical activities (M)",1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,51.3
"Professional, scientific and technical activities (M)",Not stated,2016,Persons at work 2011,Number,2919
"Professional, scientific and technical activities (M)",Not stated,2016,Persons at work 2016,Number,3405
"Professional, scientific and technical activities (M)",Not stated,2016,Percentage change of persons at work 2011-2016,%,16.7
Administrative and support service activities (N),Total time travelling,2016,Persons at work 2011,Number,58530
Administrative and support service activities (N),Total time travelling,2016,Persons at work 2016,Number,68120
Administrative and support service activities (N),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,16.4
Administrative and support service activities (N),< ¼ hour,2016,Persons at work 2011,Number,12237
Administrative and support service activities (N),< ¼ hour,2016,Persons at work 2016,Number,12780
Administrative and support service activities (N),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,4.4
Administrative and support service activities (N),¼ hour - < ½ hour,2016,Persons at work 2011,Number,18148
Administrative and support service activities (N),¼ hour - < ½ hour,2016,Persons at work 2016,Number,20671
Administrative and support service activities (N),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,13.9
Administrative and support service activities (N),½ hour - < ¾ hour,2016,Persons at work 2011,Number,13782
Administrative and support service activities (N),½ hour - < ¾ hour,2016,Persons at work 2016,Number,16516
Administrative and support service activities (N),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,19.8
Administrative and support service activities (N),¾ hour - < 1 hour,2016,Persons at work 2011,Number,4505
Administrative and support service activities (N),¾ hour - < 1 hour,2016,Persons at work 2016,Number,5687
Administrative and support service activities (N),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,26.2
Administrative and support service activities (N),1 hour - < 1½ hours,2016,Persons at work 2011,Number,4839
Administrative and support service activities (N),1 hour - < 1½ hours,2016,Persons at work 2016,Number,6532
Administrative and support service activities (N),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,35
Administrative and support service activities (N),1½ hours and over,2016,Persons at work 2011,Number,1725
Administrative and support service activities (N),1½ hours and over,2016,Persons at work 2016,Number,2247
Administrative and support service activities (N),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,30.3
Administrative and support service activities (N),Not stated,2016,Persons at work 2011,Number,3294
Administrative and support service activities (N),Not stated,2016,Persons at work 2016,Number,3687
Administrative and support service activities (N),Not stated,2016,Percentage change of persons at work 2011-2016,%,11.9
Public administration and defence; compulsory social security (O),Total time travelling,2016,Persons at work 2011,Number,110644
Public administration and defence; compulsory social security (O),Total time travelling,2016,Persons at work 2016,Number,103510
Public administration and defence; compulsory social security (O),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,-6.5
Public administration and defence; compulsory social security (O),< ¼ hour,2016,Persons at work 2011,Number,20613
Public administration and defence; compulsory social security (O),< ¼ hour,2016,Persons at work 2016,Number,18307
Public administration and defence; compulsory social security (O),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-11.2
Public administration and defence; compulsory social security (O),¼ hour - < ½ hour,2016,Persons at work 2011,Number,33814
Public administration and defence; compulsory social security (O),¼ hour - < ½ hour,2016,Persons at work 2016,Number,30251
Public administration and defence; compulsory social security (O),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,-10.5
Public administration and defence; compulsory social security (O),½ hour - < ¾ hour,2016,Persons at work 2011,Number,28371
Public administration and defence; compulsory social security (O),½ hour - < ¾ hour,2016,Persons at work 2016,Number,26692
Public administration and defence; compulsory social security (O),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,-5.9
Public administration and defence; compulsory social security (O),¾ hour - < 1 hour,2016,Persons at work 2011,Number,11966
Public administration and defence; compulsory social security (O),¾ hour - < 1 hour,2016,Persons at work 2016,Number,11447
Public administration and defence; compulsory social security (O),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,-4.3
Public administration and defence; compulsory social security (O),1 hour - < 1½ hours,2016,Persons at work 2011,Number,9981
Public administration and defence; compulsory social security (O),1 hour - < 1½ hours,2016,Persons at work 2016,Number,10623
Public administration and defence; compulsory social security (O),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,6.4
Public administration and defence; compulsory social security (O),1½ hours and over,2016,Persons at work 2011,Number,3227
Public administration and defence; compulsory social security (O),1½ hours and over,2016,Persons at work 2016,Number,3482
Public administration and defence; compulsory social security (O),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,7.9
Public administration and defence; compulsory social security (O),Not stated,2016,Persons at work 2011,Number,2672
Public administration and defence; compulsory social security (O),Not stated,2016,Persons at work 2016,Number,2708
Public administration and defence; compulsory social security (O),Not stated,2016,Percentage change of persons at work 2011-2016,%,1.4
Education (P),Total time travelling,2016,Persons at work 2011,Number,161148
Education (P),Total time travelling,2016,Persons at work 2016,Number,171297
Education (P),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,6.3
Education (P),< ¼ hour,2016,Persons at work 2011,Number,45430
Education (P),< ¼ hour,2016,Persons at work 2016,Number,45865
Education (P),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,1
Education (P),¼ hour - < ½ hour,2016,Persons at work 2011,Number,56431
Education (P),¼ hour - < ½ hour,2016,Persons at work 2016,Number,58192
Education (P),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,3.1
Education (P),½ hour - < ¾ hour,2016,Persons at work 2011,Number,32929
Education (P),½ hour - < ¾ hour,2016,Persons at work 2016,Number,35912
Education (P),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,9.1
Education (P),¾ hour - < 1 hour,2016,Persons at work 2011,Number,11593
Education (P),¾ hour - < 1 hour,2016,Persons at work 2016,Number,13152
Education (P),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,13.5
Education (P),1 hour - < 1½ hours,2016,Persons at work 2011,Number,8420
Education (P),1 hour - < 1½ hours,2016,Persons at work 2016,Number,10512
Education (P),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,24.9
Education (P),1½ hours and over,2016,Persons at work 2011,Number,2770
Education (P),1½ hours and over,2016,Persons at work 2016,Number,3532
Education (P),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,27.5
Education (P),Not stated,2016,Persons at work 2011,Number,3575
Education (P),Not stated,2016,Persons at work 2016,Number,4132
Education (P),Not stated,2016,Percentage change of persons at work 2011-2016,%,15.6
Human health and social work activities (Q),Total time travelling,2016,Persons at work 2011,Number,192491
Human health and social work activities (Q),Total time travelling,2016,Persons at work 2016,Number,217808
Human health and social work activities (Q),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,13.2
Human health and social work activities (Q),< ¼ hour,2016,Persons at work 2011,Number,50556
Human health and social work activities (Q),< ¼ hour,2016,Persons at work 2016,Number,51899
Human health and social work activities (Q),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,2.7
Human health and social work activities (Q),¼ hour - < ½ hour,2016,Persons at work 2011,Number,66821
Human health and social work activities (Q),¼ hour - < ½ hour,2016,Persons at work 2016,Number,74028
Human health and social work activities (Q),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,10.8
Human health and social work activities (Q),½ hour - < ¾ hour,2016,Persons at work 2011,Number,41637
Human health and social work activities (Q),½ hour - < ¾ hour,2016,Persons at work 2016,Number,49177
Human health and social work activities (Q),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,18.1
Human health and social work activities (Q),¾ hour - < 1 hour,2016,Persons at work 2011,Number,14214
Human health and social work activities (Q),¾ hour - < 1 hour,2016,Persons at work 2016,Number,17475
Human health and social work activities (Q),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,22.9
Human health and social work activities (Q),1 hour - < 1½ hours,2016,Persons at work 2011,Number,10721
Human health and social work activities (Q),1 hour - < 1½ hours,2016,Persons at work 2016,Number,14429
Human health and social work activities (Q),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,34.6
Human health and social work activities (Q),1½ hours and over,2016,Persons at work 2011,Number,3317
Human health and social work activities (Q),1½ hours and over,2016,Persons at work 2016,Number,4341
Human health and social work activities (Q),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,30.9
Human health and social work activities (Q),Not stated,2016,Persons at work 2011,Number,5225
Human health and social work activities (Q),Not stated,2016,Persons at work 2016,Number,6459
Human health and social work activities (Q),Not stated,2016,Percentage change of persons at work 2011-2016,%,23.6
"Arts, entertainment and recreation (R)",Total time travelling,2016,Persons at work 2011,Number,28370
"Arts, entertainment and recreation (R)",Total time travelling,2016,Persons at work 2016,Number,31170
"Arts, entertainment and recreation (R)",Total time travelling,2016,Percentage change of persons at work 2011-2016,%,9.9
"Arts, entertainment and recreation (R)",< ¼ hour,2016,Persons at work 2011,Number,8068
"Arts, entertainment and recreation (R)",< ¼ hour,2016,Persons at work 2016,Number,8493
"Arts, entertainment and recreation (R)",< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,5.3
"Arts, entertainment and recreation (R)",¼ hour - < ½ hour,2016,Persons at work 2011,Number,9038
"Arts, entertainment and recreation (R)",¼ hour - < ½ hour,2016,Persons at work 2016,Number,9565
"Arts, entertainment and recreation (R)",¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,5.8
"Arts, entertainment and recreation (R)",½ hour - < ¾ hour,2016,Persons at work 2011,Number,5581
"Arts, entertainment and recreation (R)",½ hour - < ¾ hour,2016,Persons at work 2016,Number,6112
"Arts, entertainment and recreation (R)",½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,9.5
"Arts, entertainment and recreation (R)",¾ hour - < 1 hour,2016,Persons at work 2011,Number,1819
"Arts, entertainment and recreation (R)",¾ hour - < 1 hour,2016,Persons at work 2016,Number,2129
"Arts, entertainment and recreation (R)",¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,17
"Arts, entertainment and recreation (R)",1 hour - < 1½ hours,2016,Persons at work 2011,Number,1715
"Arts, entertainment and recreation (R)",1 hour - < 1½ hours,2016,Persons at work 2016,Number,2266
"Arts, entertainment and recreation (R)",1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,32.1
"Arts, entertainment and recreation (R)",1½ hours and over,2016,Persons at work 2011,Number,694
"Arts, entertainment and recreation (R)",1½ hours and over,2016,Persons at work 2016,Number,932
"Arts, entertainment and recreation (R)",1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,34.3
"Arts, entertainment and recreation (R)",Not stated,2016,Persons at work 2011,Number,1455
"Arts, entertainment and recreation (R)",Not stated,2016,Persons at work 2016,Number,1673
"Arts, entertainment and recreation (R)",Not stated,2016,Percentage change of persons at work 2011-2016,%,15
Other service activities (S),Total time travelling,2016,Persons at work 2011,Number,36091
Other service activities (S),Total time travelling,2016,Persons at work 2016,Number,38715
Other service activities (S),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,7.3
Other service activities (S),< ¼ hour,2016,Persons at work 2011,Number,12031
Other service activities (S),< ¼ hour,2016,Persons at work 2016,Number,12384
Other service activities (S),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,2.9
Other service activities (S),¼ hour - < ½ hour,2016,Persons at work 2011,Number,11009
Other service activities (S),¼ hour - < ½ hour,2016,Persons at work 2016,Number,11995
Other service activities (S),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,9
Other service activities (S),½ hour - < ¾ hour,2016,Persons at work 2011,Number,6549
Other service activities (S),½ hour - < ¾ hour,2016,Persons at work 2016,Number,7116
Other service activities (S),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,8.7
Other service activities (S),¾ hour - < 1 hour,2016,Persons at work 2011,Number,2079
Other service activities (S),¾ hour - < 1 hour,2016,Persons at work 2016,Number,2166
Other service activities (S),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,4.2
Other service activities (S),1 hour - < 1½ hours,2016,Persons at work 2011,Number,1855
Other service activities (S),1 hour - < 1½ hours,2016,Persons at work 2016,Number,2103
Other service activities (S),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,13.4
Other service activities (S),1½ hours and over,2016,Persons at work 2011,Number,558
Other service activities (S),1½ hours and over,2016,Persons at work 2016,Number,676
Other service activities (S),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,21.2
Other service activities (S),Not stated,2016,Persons at work 2011,Number,2010
Other service activities (S),Not stated,2016,Persons at work 2016,Number,2275
Other service activities (S),Not stated,2016,Percentage change of persons at work 2011-2016,%,13.2
Activities of households as employers producing activities of households for own use (T),Total time travelling,2016,Persons at work 2011,Number,1390
Activities of households as employers producing activities of households for own use (T),Total time travelling,2016,Persons at work 2016,Number,1727
Activities of households as employers producing activities of households for own use (T),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,24.2
Activities of households as employers producing activities of households for own use (T),< ¼ hour,2016,Persons at work 2011,Number,356
Activities of households as employers producing activities of households for own use (T),< ¼ hour,2016,Persons at work 2016,Number,445
Activities of households as employers producing activities of households for own use (T),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,25
Activities of households as employers producing activities of households for own use (T),¼ hour - < ½ hour,2016,Persons at work 2011,Number,355
Activities of households as employers producing activities of households for own use (T),¼ hour - < ½ hour,2016,Persons at work 2016,Number,500
Activities of households as employers producing activities of households for own use (T),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,40.9
Activities of households as employers producing activities of households for own use (T),½ hour - < ¾ hour,2016,Persons at work 2011,Number,201
Activities of households as employers producing activities of households for own use (T),½ hour - < ¾ hour,2016,Persons at work 2016,Number,293
Activities of households as employers producing activities of households for own use (T),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,45.8
Activities of households as employers producing activities of households for own use (T),¾ hour - < 1 hour,2016,Persons at work 2011,Number,51
Activities of households as employers producing activities of households for own use (T),¾ hour - < 1 hour,2016,Persons at work 2016,Number,95
Activities of households as employers producing activities of households for own use (T),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,86.3
Activities of households as employers producing activities of households for own use (T),1 hour - < 1½ hours,2016,Persons at work 2011,Number,68
Activities of households as employers producing activities of households for own use (T),1 hour - < 1½ hours,2016,Persons at work 2016,Number,91
Activities of households as employers producing activities of households for own use (T),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,33.8
Activities of households as employers producing activities of households for own use (T),1½ hours and over,2016,Persons at work 2011,Number,15
Activities of households as employers producing activities of households for own use (T),1½ hours and over,2016,Persons at work 2016,Number,14
Activities of households as employers producing activities of households for own use (T),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,-6.7
Activities of households as employers producing activities of households for own use (T),Not stated,2016,Persons at work 2011,Number,344
Activities of households as employers producing activities of households for own use (T),Not stated,2016,Persons at work 2016,Number,289
Activities of households as employers producing activities of households for own use (T),Not stated,2016,Percentage change of persons at work 2011-2016,%,-16
Activities of extraterritorial organisations and bodies (U),Total time travelling,2016,Persons at work 2011,Number,720
Activities of extraterritorial organisations and bodies (U),Total time travelling,2016,Persons at work 2016,Number,702
Activities of extraterritorial organisations and bodies (U),Total time travelling,2016,Percentage change of persons at work 2011-2016,%,-2.5
Activities of extraterritorial organisations and bodies (U),< ¼ hour,2016,Persons at work 2011,Number,149
Activities of extraterritorial organisations and bodies (U),< ¼ hour,2016,Persons at work 2016,Number,97
Activities of extraterritorial organisations and bodies (U),< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,-34.9
Activities of extraterritorial organisations and bodies (U),¼ hour - < ½ hour,2016,Persons at work 2011,Number,209
Activities of extraterritorial organisations and bodies (U),¼ hour - < ½ hour,2016,Persons at work 2016,Number,175
Activities of extraterritorial organisations and bodies (U),¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,-16.3
Activities of extraterritorial organisations and bodies (U),½ hour - < ¾ hour,2016,Persons at work 2011,Number,170
Activities of extraterritorial organisations and bodies (U),½ hour - < ¾ hour,2016,Persons at work 2016,Number,181
Activities of extraterritorial organisations and bodies (U),½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,6.5
Activities of extraterritorial organisations and bodies (U),¾ hour - < 1 hour,2016,Persons at work 2011,Number,72
Activities of extraterritorial organisations and bodies (U),¾ hour - < 1 hour,2016,Persons at work 2016,Number,86
Activities of extraterritorial organisations and bodies (U),¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,19.4
Activities of extraterritorial organisations and bodies (U),1 hour - < 1½ hours,2016,Persons at work 2011,Number,72
Activities of extraterritorial organisations and bodies (U),1 hour - < 1½ hours,2016,Persons at work 2016,Number,99
Activities of extraterritorial organisations and bodies (U),1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,37.5
Activities of extraterritorial organisations and bodies (U),1½ hours and over,2016,Persons at work 2011,Number,30
Activities of extraterritorial organisations and bodies (U),1½ hours and over,2016,Persons at work 2016,Number,30
Activities of extraterritorial organisations and bodies (U),1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,0
Activities of extraterritorial organisations and bodies (U),Not stated,2016,Persons at work 2011,Number,18
Activities of extraterritorial organisations and bodies (U),Not stated,2016,Persons at work 2016,Number,34
Activities of extraterritorial organisations and bodies (U),Not stated,2016,Percentage change of persons at work 2011-2016,%,88.9
Industry not stated,Total time travelling,2016,Persons at work 2011,Number,90412
Industry not stated,Total time travelling,2016,Persons at work 2016,Number,145155
Industry not stated,Total time travelling,2016,Percentage change of persons at work 2011-2016,%,60.6
Industry not stated,< ¼ hour,2016,Persons at work 2011,Number,13177
Industry not stated,< ¼ hour,2016,Persons at work 2016,Number,16789
Industry not stated,< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,27.4
Industry not stated,¼ hour - < ½ hour,2016,Persons at work 2011,Number,15491
Industry not stated,¼ hour - < ½ hour,2016,Persons at work 2016,Number,19896
Industry not stated,¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,28.4
Industry not stated,½ hour - < ¾ hour,2016,Persons at work 2011,Number,12053
Industry not stated,½ hour - < ¾ hour,2016,Persons at work 2016,Number,16484
Industry not stated,½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,36.8
Industry not stated,¾ hour - < 1 hour,2016,Persons at work 2011,Number,3196
Industry not stated,¾ hour - < 1 hour,2016,Persons at work 2016,Number,4542
Industry not stated,¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,42.1
Industry not stated,1 hour - < 1½ hours,2016,Persons at work 2011,Number,3840
Industry not stated,1 hour - < 1½ hours,2016,Persons at work 2016,Number,6206
Industry not stated,1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,61.6
Industry not stated,1½ hours and over,2016,Persons at work 2011,Number,1522
Industry not stated,1½ hours and over,2016,Persons at work 2016,Number,2550
Industry not stated,1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,67.5
Industry not stated,Not stated,2016,Persons at work 2011,Number,41133
Industry not stated,Not stated,2016,Persons at work 2016,Number,78688
Industry not stated,Not stated,2016,Percentage change of persons at work 2011-2016,%,91.3
Total at work,Total time travelling,2016,Persons at work 2011,Number,1695074
Total at work,Total time travelling,2016,Persons at work 2016,Number,1875773
Total at work,Total time travelling,2016,Percentage change of persons at work 2011-2016,%,10.7
Total at work,< ¼ hour,2016,Persons at work 2011,Number,427993
Total at work,< ¼ hour,2016,Persons at work 2016,Number,430221
Total at work,< ¼ hour,2016,Percentage change of persons at work 2011-2016,%,0.5
Total at work,¼ hour - < ½ hour,2016,Persons at work 2011,Number,520128
Total at work,¼ hour - < ½ hour,2016,Persons at work 2016,Number,550257
Total at work,¼ hour - < ½ hour,2016,Percentage change of persons at work 2011-2016,%,5.8
Total at work,½ hour - < ¾ hour,2016,Persons at work 2011,Number,352362
Total at work,½ hour - < ¾ hour,2016,Persons at work 2016,Number,396252
Total at work,½ hour - < ¾ hour,2016,Percentage change of persons at work 2011-2016,%,12.5
Total at work,¾ hour - < 1 hour,2016,Persons at work 2011,Number,123298
Total at work,¾ hour - < 1 hour,2016,Persons at work 2016,Number,143351
Total at work,¾ hour - < 1 hour,2016,Percentage change of persons at work 2011-2016,%,16.3
Total at work,1 hour - < 1½ hours,2016,Persons at work 2011,Number,112701
Total at work,1 hour - < 1½ hours,2016,Persons at work 2016,Number,147124
Total at work,1 hour - < 1½ hours,2016,Percentage change of persons at work 2011-2016,%,30.5
Total at work,1½ hours and over,2016,Persons at work 2011,Number,39764
Total at work,1½ hours and over,2016,Persons at work 2016,Number,52798
Total at work,1½ hours and over,2016,Percentage change of persons at work 2011-2016,%,32.8
Total at work,Not stated,2016,Persons at work 2011,Number,118828
Total at work,Not stated,2016,Persons at work 2016,Number,155770
Total at work,Not stated,2016,Percentage change of persons at work 2011-2016,%,31.1
